node_a,node_b,association
hsa-miR-381-3p,hsa-miR-425-5p,0.0
hsa-miR-381-3p,hsa-miR-27a-3p,0.0
hsa-miR-381-3p,hsa-miR-193a-3p,0.0
hsa-miR-381-3p,hsa-let-7c-5p,0.0
hsa-miR-381-3p,hsa-miR-365b-3p,0.0
hsa-miR-381-3p,hsa-miR-365a-3p,0.0
hsa-miR-106b-5p,hsa-miR-9-5p,0.0
hsa-miR-106b-5p,hsa-miR-92a-3p,0.0
hsa-miR-181d-5p,hsa-miR-196a-5p,0.0
hsa-miR-106b-5p,hsa-miR-149-5p,0.0
hsa-miR-106b-5p,hsa-miR-148b-3p,0.0
hsa-miR-106b-5p,hsa-miR-324-5p,0.0
hsa-miR-106b-5p,hsa-miR-130b-3p,0.0
hsa-miR-106b-5p,hsa-miR-30d-5p,0.0
hsa-miR-106b-5p,hsa-miR-196a-5p,0.0
hsa-miR-106b-5p,hsa-miR-363-3p,0.0
hsa-miR-106b-5p,hsa-miR-425-5p,0.0
hsa-miR-106b-5p,hsa-miR-27a-3p,0.0
hsa-miR-106b-5p,hsa-miR-193a-3p,0.0
hsa-miR-106b-5p,hsa-let-7c-5p,0.0
hsa-miR-106b-5p,hsa-miR-365b-3p,0.0
hsa-miR-106b-5p,hsa-miR-365a-3p,0.0
hsa-miR-9-5p,hsa-miR-92a-3p,0.0
hsa-miR-106b-5p,hsa-miR-15b-5p,0.0
hsa-miR-181d-5p,hsa-miR-363-3p,0.0
hsa-miR-181d-5p,hsa-miR-425-5p,0.0
hsa-miR-181d-5p,hsa-miR-27a-3p,0.0
hsa-miR-181d-5p,hsa-miR-193a-3p,0.0
hsa-miR-181d-5p,hsa-let-7c-5p,0.0
hsa-miR-181d-5p,hsa-miR-365b-3p,0.0
hsa-miR-181d-5p,hsa-miR-365a-3p,0.0
hsa-miR-30c-5p,hsa-miR-381-3p,0.0
hsa-miR-30c-5p,hsa-miR-106b-5p,0.0
hsa-miR-30c-5p,hsa-miR-9-5p,0.0
hsa-miR-30c-5p,hsa-miR-92a-3p,0.0
hsa-miR-30c-5p,hsa-miR-15b-5p,0.0
hsa-miR-30c-5p,hsa-miR-149-5p,0.0
hsa-miR-30c-5p,hsa-miR-148b-3p,0.0
hsa-miR-381-3p,hsa-miR-148b-3p,0.0
hsa-miR-30c-5p,hsa-miR-30d-5p,0.0
